Threshold,TP,FP,FN,TN,TPR,FPR,PPV
152,0,0,0,1,-nan,0.00,-nan
153,0,0,0,1,-nan,0.00,-nan
154,0,0,0,1,-nan,0.00,-nan
155,0,0,0,1,-nan,0.00,-nan
156,0,0,0,1,-nan,0.00,-nan
157,0,0,0,1,-nan,0.00,-nan
158,0,0,0,1,-nan,0.00,-nan
159,0,0,0,1,-nan,0.00,-nan
160,0,0,0,1,-nan,0.00,-nan
161,0,0,0,1,-nan,0.00,-nan
162,0,0,0,1,-nan,0.00,-nan
163,0,0,0,1,-nan,0.00,-nan
164,0,0,0,1,-nan,0.00,-nan
165,0,0,0,1,-nan,0.00,-nan
166,0,0,0,1,-nan,0.00,-nan
167,0,0,0,1,-nan,0.00,-nan
168,0,0,0,1,-nan,0.00,-nan
169,0,0,0,1,-nan,0.00,-nan
170,0,0,0,1,-nan,0.00,-nan
171,0,0,0,1,-nan,0.00,-nan
172,0,0,0,1,-nan,0.00,-nan
173,0,0,0,1,-nan,0.00,-nan
174,0,0,0,1,-nan,0.00,-nan
175,0,0,0,1,-nan,0.00,-nan
176,0,0,0,1,-nan,0.00,-nan
177,0,0,0,1,-nan,0.00,-nan
178,0,0,0,1,-nan,0.00,-nan
179,0,0,0,1,-nan,0.00,-nan
180,0,0,0,1,-nan,0.00,-nan
181,0,0,0,1,-nan,0.00,-nan
182,0,0,0,1,-nan,0.00,-nan
183,0,0,0,1,-nan,0.00,-nan
184,0,0,0,1,-nan,0.00,-nan
185,0,0,0,1,-nan,0.00,-nan
186,0,0,0,1,-nan,0.00,-nan
187,0,0,0,1,-nan,0.00,-nan
188,0,0,0,1,-nan,0.00,-nan
189,0,0,0,1,-nan,0.00,-nan
190,0,0,0,1,-nan,0.00,-nan
191,0,0,0,1,-nan,0.00,-nan
192,0,0,0,1,-nan,0.00,-nan
193,0,0,0,1,-nan,0.00,-nan
194,0,0,0,1,-nan,0.00,-nan
195,0,0,0,1,-nan,0.00,-nan
196,0,0,0,1,-nan,0.00,-nan
197,0,0,0,1,-nan,0.00,-nan
198,0,0,0,1,-nan,0.00,-nan
199,0,0,0,1,-nan,0.00,-nan
200,0,0,0,1,-nan,0.00,-nan
201,0,0,0,1,-nan,0.00,-nan
202,0,0,0,1,-nan,0.00,-nan
203,0,0,0,1,-nan,0.00,-nan
204,0,0,0,1,-nan,0.00,-nan
205,0,0,0,1,-nan,0.00,-nan
206,0,0,0,1,-nan,0.00,-nan
207,0,0,0,1,-nan,0.00,-nan
208,0,0,0,1,-nan,0.00,-nan
209,0,0,0,1,-nan,0.00,-nan
210,0,0,0,1,-nan,0.00,-nan
211,0,0,0,1,-nan,0.00,-nan
212,0,0,0,1,-nan,0.00,-nan
213,0,0,0,1,-nan,0.00,-nan
214,0,0,0,1,-nan,0.00,-nan
215,0,0,0,1,-nan,0.00,-nan
216,0,0,0,1,-nan,0.00,-nan
217,0,0,0,1,-nan,0.00,-nan
218,0,0,0,1,-nan,0.00,-nan
219,0,0,0,1,-nan,0.00,-nan
220,0,0,0,1,-nan,0.00,-nan
221,0,0,0,1,-nan,0.00,-nan
222,0,0,0,1,-nan,0.00,-nan
223,0,0,0,1,-nan,0.00,-nan
224,0,0,0,1,-nan,0.00,-nan
225,0,0,0,1,-nan,0.00,-nan
226,0,0,0,1,-nan,0.00,-nan
227,0,0,0,1,-nan,0.00,-nan
228,0,0,0,1,-nan,0.00,-nan
229,0,0,0,1,-nan,0.00,-nan
230,0,0,0,1,-nan,0.00,-nan
231,0,0,0,1,-nan,0.00,-nan
232,0,0,0,1,-nan,0.00,-nan
233,0,0,0,1,-nan,0.00,-nan
234,0,0,0,1,-nan,0.00,-nan
235,0,0,0,1,-nan,0.00,-nan
236,0,0,0,1,-nan,0.00,-nan
237,0,0,0,1,-nan,0.00,-nan
238,0,0,0,1,-nan,0.00,-nan
239,0,0,0,1,-nan,0.00,-nan
240,0,0,0,1,-nan,0.00,-nan
241,0,0,0,1,-nan,0.00,-nan
242,0,0,0,1,-nan,0.00,-nan
243,0,0,0,1,-nan,0.00,-nan
244,0,0,0,1,-nan,0.00,-nan
245,0,0,0,1,-nan,0.00,-nan
246,0,0,0,1,-nan,0.00,-nan
247,0,0,0,1,-nan,0.00,-nan
248,0,0,0,1,-nan,0.00,-nan
249,0,0,0,1,-nan,0.00,-nan
250,0,0,0,1,-nan,0.00,-nan
251,0,0,0,1,-nan,0.00,-nan
252,0,0,0,1,-nan,0.00,-nan
253,0,0,0,1,-nan,0.00,-nan
254,0,0,0,1,-nan,0.00,-nan
255,0,0,0,1,-nan,0.00,-nan
